This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
fbe98b5bd2972c6faae73a484a35166bcbb0ae3044c3ecf62a939b17af3c6f74 46 0 0 0
15f5eb1029c11ca3be5ebd857fc8b182ccdb7cd206205c6ec85331c017f485b7 16 2 43 1
611b071311c52cc406fe34ed602e6a965fcfb7255c7f05d74b376e9611dcbfab 2 0 0 0
459fd272d70895834dc5e3b23ac7d83309740b5d234e8f587c4b9ec904dc2977 17 2 74 1
3eb841b98ea83d3aa3c26e78416334bb3017d2c50331756e1bf5028508ebf8ef 6 3 44 0
ca92e3f73fd30bd66059aef56d9a6dcc21985167828c55aed465aa49e23e45b2 24 10 1448 3
cf09075077a52b9630ec87b5bc77ba2b278b2a2296513b236ad60f4c6eefae81 18 0 0 0
91bed79b7b11bd263681560cb9b6996aa8cb0ada7f362bed7dfc92d863f23dd6 10 5 601 11
20e8fa3fea54144982c27a2c1e003bd447427d7a509da94fda65be67738859e0 2 2 1 0
6821b6cc706e3650d8205b12ca746767745028fe53e36d52c15764be5d6333a3 10 2 21 2
0064b9daa323aa6ec0b32decfbf6d941a1cddb56a150f1553363b09b8776084b 79 25 12140 242
d2b5309803c1c29d737920f7f963e11a278046d829118e38c04e134136b85073 5 5 993 2
bd0184a441d336fc0d1fa64fe246bb954ca36aea164c4080f8dd2a5a5d7d7881 16 16 3153548 98
fff91bb4792daef85825da56067302243abe1403850ae3f6b78251325f7fac95 2 2 1045 1
163faf2a1b7b948ed83b686932240d9ed06edb80a8570bf2a76439a34e6b8490 3 3 8411 10
dfc0f3abcb6b4a00696d796f215c057cdcc1e2f0f1ee45a40faeeb362c96186c 1095 1050 17361 8357
68e3dda1e5c787bd9b6737ddf1c9304e47ec69d7b13a23b04432ed64791c2676 695 0 0 0
fb6251c56cd7c14e5214d4ab3fa9564906c57feef03410b3697e178160447f3f 32 0 0 0
562f1dfcc101a3441889cf39949df7b83057c6991a9c1a2a874b9a8c3df140cb 0 0 0 0
0024c0620aa4797951fba8c357bbf6df26e25e3def45b850c44bdd3dd1ae8224 0 0 0 0
cf3a18e8d8ad308b73a0b6974a58926ff96e413fbbe0b3d5efd0ce65af566ed2 1138 0 0 0
